id,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,loan_grade,loan_intent,person_home_ownership
65,28792,37,17896,22.81,0.15,N,D,PERSONAL,OWN
66,128859,23,8805,14.11,0.23,N,G,PERSONAL,RENT
67,128557,4,6237,17.4,0.28,N,A,DEBTCONSOLIDATION,OWN
68,93969,33,21056,10.55,0.33,N,B,HOMEIMPROVEMENT,RENT
69,63001,5,4343,8.76,0.18,N,F,HOMEIMPROVEMENT,RENT
70,96552,21,14500,14.27,0.11,N,A,DEBTCONSOLIDATION,RENT
71,43897,10,30375,12.07,0.39,N,G,PERSONAL,OWN
72,88148,15,10662,16.67,0.21,N,G,PERSONAL,MORTGAGE
73,141729,32,17964,6.55,0.37,N,D,PERSONAL,MORTGAGE
74,144243,8,9130,24.49,0.13,Y,E,MEDICAL,MORTGAGE
75,140923,5,20531,24.72,0.31,Y,A,PERSONAL,RENT
76,140174,15,2679,18.96,0.34,N,F,VENTURE,RENT
77,43483,28,4506,15.72,0.08,Y,A,EDUCATION,RENT
78,144358,2,14284,11.19,0.24,Y,C,PERSONAL,OTHER
79,68555,19,8253,21.28,0.12,N,E,DEBTCONSOLIDATION,RENT
80,145436,35,20128,18.69,0.08,N,F,EDUCATION,MORTGAGE
81,37159,18,28932,8.25,0.59,N,F,MEDICAL,OWN
82,130510,25,10435,23.22,0.23,N,B,DEBTCONSOLIDATION,RENT
83,126530,2,14296,21.45,0.5,N,D,EDUCATION,MORTGAGE
84,100077,18,31445,24.0,0.19,N,B,DEBTCONSOLIDATION,OWN
85,55920,19,14245,19.51,0.42,N,F,MEDICAL,MORTGAGE
86,112067,31,30124,17.27,0.47,N,E,VENTURE,MORTGAGE
87,87121,6,30899,13.36,0.38,N,A,MEDICAL,RENT
88,89479,32,36247,23.65,0.31,N,A,MEDICAL,RENT
89,109475,39,30222,22.32,0.28,N,E,DEBTCONSOLIDATION,OWN
90,39457,38,27211,5.9,0.24,N,F,HOMEIMPROVEMENT,MORTGAGE
91,86557,17,38220,5.53,0.56,N,G,PERSONAL,RENT
92,97189,39,27646,12.53,0.51,N,A,PERSONAL,OWN
93,129109,0,39649,21.21,0.58,N,G,VENTURE,OWN
94,98953,10,24049,24.75,0.12,N,A,VENTURE,MORTGAGE
95,72995,27,15069,8.01,0.45,Y,A,PERSONAL,RENT
96,60757,24,33580,16.88,0.57,N,D,HOMEIMPROVEMENT,MORTGAGE
97,29692,22,32843,12.62,0.15,N,D,PERSONAL,MORTGAGE
98,65758,30,3849,24.4,0.09,N,C,HOMEIMPROVEMENT,RENT
99,149425,29,24289,21.84,0.46,N,B,VENTURE,RENT
100,92409,34,36257,21.77,0.37,N,E,EDUCATION,OTHER
101,91211,6,10823,14.37,0.51,Y,E,DEBTCONSOLIDATION,RENT
102,85697,15,10540,13.3,0.13,N,E,VENTURE,MORTGAGE
103,57065,25,17364,10.47,0.49,N,C,VENTURE,OWN
104,112093,1,5611,6.13,0.16,N,D,MEDICAL,RENT
105,119299,0,28663,22.29,0.14,N,F,MEDICAL,MORTGAGE
106,149293,11,39646,21.26,0.14,Y,G,MEDICAL,RENT
107,52606,4,31977,24.99,0.5,N,G,DEBTCONSOLIDATION,OWN
108,147791,36,30168,24.93,0.42,N,F,MEDICAL,RENT
109,31534,31,26471,16.11,0.34,N,C,HOMEIMPROVEMENT,OWN
110,114663,8,23687,20.38,0.25,Y,F,PERSONAL,RENT
111,60397,34,1851,23.9,0.53,N,E,EDUCATION,RENT
112,146678,18,19071,21.99,0.27,Y,B,VENTURE,OTHER
113,111387,15,7833,9.95,0.5,N,A,HOMEIMPROVEMENT,RENT
114,21016,2,12938,14.01,0.29,Y,G,EDUCATION,OWN
115,109789,19,36195,7.58,0.26,N,D,HOMEIMPROVEMENT,RENT
116,75591,23,27144,24.08,0.3,N,D,HOMEIMPROVEMENT,MORTGAGE
117,109812,32,5000,17.12,0.22,N,C,VENTURE,RENT
118,43247,23,6052,9.57,0.46,N,D,PERSONAL,OTHER
119,44300,10,36506,18.43,0.33,N,E,MEDICAL,OWN
120,94065,7,29074,17.36,0.18,N,G,DEBTCONSOLIDATION,RENT
121,102798,35,39155,12.16,0.54,Y,F,PERSONAL,RENT
122,29268,37,33320,7.27,0.26,Y,E,DEBTCONSOLIDATION,RENT
123,106807,39,39304,18.43,0.35,N,C,VENTURE,OWN
124,32185,19,4913,15.41,0.55,N,E,VENTURE,RENT
125,83704,34,18450,20.45,0.39,N,F,VENTURE,MORTGAGE
126,106779,24,25107,15.4,0.11,N,B,EDUCATION,RENT
127,59099,34,21764,22.04,0.57,N,C,DEBTCONSOLIDATION,RENT
128,28571,24,21491,16.04,0.4,Y,B,PERSONAL,OWN
129,143372,28,39494,16.22,0.23,N,A,PERSONAL,MORTGAGE
130,125512,17,4373,22.53,0.13,N,B,HOMEIMPROVEMENT,RENT
131,58044,17,13161,13.07,0.49,N,A,HOMEIMPROVEMENT,RENT
132,71214,1,32996,7.68,0.39,N,A,HOMEIMPROVEMENT,RENT
133,81228,34,28122,5.58,0.34,Y,B,VENTURE,MORTGAGE
134,134752,15,35850,20.1,0.54,Y,C,PERSONAL,OWN
135,68984,35,28350,17.41,0.48,N,F,DEBTCONSOLIDATION,OWN
136,60774,32,28472,19.08,0.13,Y,E,VENTURE,MORTGAGE
137,22568,3,29761,9.26,0.22,N,E,EDUCATION,MORTGAGE
138,140151,32,26351,7.73,0.19,N,F,HOMEIMPROVEMENT,OWN
139,82592,13,24132,5.29,0.46,N,G,VENTURE,MORTGAGE
140,87563,20,16305,12.01,0.07,N,G,VENTURE,RENT
141,22695,19,10817,16.8,0.36,N,A,EDUCATION,RENT
142,144375,7,12261,12.84,0.47,N,A,MEDICAL,RENT
143,68190,6,1417,13.75,0.53,N,C,PERSONAL,RENT
144,25258,2,21358,23.08,0.24,N,D,DEBTCONSOLIDATION,OWN
145,107538,16,4267,11.97,0.5,N,B,MEDICAL,MORTGAGE
146,59504,32,18209,15.28,0.11,N,A,HOMEIMPROVEMENT,RENT
147,53159,11,25052,20.67,0.52,N,E,VENTURE,RENT
148,33986,21,39513,12.93,0.12,N,C,EDUCATION,OWN
149,81858,21,27092,17.44,0.27,N,B,EDUCATION,MORTGAGE
150,149312,29,12338,22.25,0.49,Y,C,PERSONAL,RENT
151,32666,37,1412,23.99,0.13,N,B,MEDICAL,OWN
152,58660,37,8543,7.94,0.18,N,B,PERSONAL,RENT
153,23561,7,34496,23.53,0.45,Y,F,VENTURE,RENT
154,46854,26,24548,14.84,0.45,N,A,PERSONAL,OTHER
155,84505,26,28384,10.16,0.4,N,C,DEBTCONSOLIDATION,OTHER
156,124488,33,39756,14.18,0.43,N,C,EDUCATION,RENT
157,72251,20,19888,24.6,0.35,N,F,EDUCATION,OTHER
158,42662,29,36735,14.85,0.19,Y,E,HOMEIMPROVEMENT,OWN
159,28392,32,18506,11.58,0.24,Y,E,HOMEIMPROVEMENT,MORTGAGE
160,50535,27,21463,17.67,0.15,N,G,VENTURE,OWN
161,98603,32,18955,9.8,0.55,N,A,DEBTCONSOLIDATION,OWN
162,133569,4,38841,6.52,0.37,N,A,MEDICAL,OWN
163,72256,18,6104,7.58,0.27,N,D,PERSONAL,OWN
164,109135,3,35911,7.56,0.3,N,F,VENTURE,RENT
165,147478,34,24190,8.04,0.57,N,E,HOMEIMPROVEMENT,RENT
166,55222,16,8357,7.78,0.13,N,B,PERSONAL,RENT
167,97373,27,33479,17.82,0.37,N,C,HOMEIMPROVEMENT,MORTGAGE
168,99575,29,37208,8.64,0.33,N,A,PERSONAL,RENT
169,143684,28,21150,11.91,0.39,N,C,MEDICAL,OWN
170,116354,5,6644,22.94,0.06,N,C,VENTURE,OTHER
171,104651,34,3914,14.48,0.53,Y,D,PERSONAL,RENT
172,83335,36,22352,18.35,0.56,N,E,DEBTCONSOLIDATION,OWN
173,30965,23,15397,8.45,0.36,Y,A,EDUCATION,RENT
174,44538,28,1728,8.85,0.43,N,C,DEBTCONSOLIDATION,MORTGAGE
175,128066,30,1698,5.82,0.56,N,A,DEBTCONSOLIDATION,RENT
176,90592,34,14923,8.38,0.44,Y,B,EDUCATION,OWN
177,118018,32,17779,10.57,0.13,N,D,DEBTCONSOLIDATION,MORTGAGE
178,133252,20,8400,8.54,0.37,N,B,PERSONAL,MORTGAGE
179,28110,31,25466,6.77,0.38,N,A,PERSONAL,OWN
180,99309,22,37939,7.41,0.28,N,G,PERSONAL,OWN
181,47266,32,5360,14.22,0.46,N,A,EDUCATION,OWN
182,72992,2,36270,9.13,0.56,N,E,DEBTCONSOLIDATION,MORTGAGE
183,102948,17,18101,12.29,0.56,N,C,EDUCATION,OWN
184,142073,24,33307,15.07,0.3,N,C,PERSONAL,RENT
185,118806,30,6486,18.81,0.11,N,B,DEBTCONSOLIDATION,MORTGAGE
186,26910,2,9335,5.79,0.59,N,D,DEBTCONSOLIDATION,OWN
187,130989,39,22364,20.99,0.51,N,G,HOMEIMPROVEMENT,OWN
188,110982,23,38259,17.56,0.12,N,F,HOMEIMPROVEMENT,RENT
189,141626,31,24576,6.64,0.56,Y,C,MEDICAL,OWN
190,139176,21,32667,22.47,0.53,N,E,VENTURE,RENT
191,20206,22,12130,23.42,0.34,N,B,HOMEIMPROVEMENT,OWN
192,107054,1,22972,6.22,0.38,Y,B,EDUCATION,RENT
193,107897,26,2167,10.54,0.27,N,F,HOMEIMPROVEMENT,OWN
194,142409,1,28192,21.12,0.08,N,E,MEDICAL,OTHER
195,43419,25,2062,19.97,0.23,Y,D,DEBTCONSOLIDATION,RENT
196,70636,16,19540,8.69,0.49,N,E,MEDICAL,OTHER
197,142546,39,25244,9.19,0.05,N,D,DEBTCONSOLIDATION,RENT
198,134238,32,22545,12.41,0.23,N,E,DEBTCONSOLIDATION,MORTGAGE
199,70015,8,22689,14.69,0.27,N,E,VENTURE,MORTGAGE
